obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,307.92825,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762202190.25,,29,28,10.9109341152,1017.67737526,285.077255652,4.44970294686,13.0016167925,81.8596889614,10.5774792848,374.42346462,3762202190.25,-0.194963196368,-0.0772524850042
"('1',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,99.5504998398,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762205790.25,,29,28,10.7565874314,1017.41862752,313.70725247,4.62937994429,12.9883763106,82.1297013979,10.6258863,175.74856886,3762205790.25,-0.230331936422,0.00044082623041
"('2',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.51250005007,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762209390.25,,29,28,10.5710688304,1017.03924985,306.610824584,4.62157350991,12.9450601633,83.1495238332,10.6343536339,37.5265926486,3762209390.25,-0.160875081822,0.0293779638078
"('3',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.07649999499,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762212990.25,,29,28,10.4753967214,1016.82389006,313.650037017,5.00833668171,12.9041944498,82.6666803532,10.6077449254,3.97452581788,3762212990.25,-0.114456664611,0.0390767822156
"('4',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.13950003505,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762216590.25,,29,28,10.3720727978,1016.52407093,117.77619566,5.71984197432,12.8916705322,83.9093548321,10.5954990187,3.06658589257,3762216590.25,-0.0694126313612,0.0568974466707
"('5',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.13700003505,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762220190.25,,29,28,10.3475513304,1016.16939232,306.864800786,5.82828173423,12.8900003433,85.7796500667,10.569643546,3.24183802108,3762220190.25,0.0175119267445,0.0800706031947
"('6',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.6500624831,,16,16,0.000416782167223,29,29,,16,16,,29,28,,,29,28,,29,28,3762223790.25,,29,28,10.358382444,1015.48954757,317.914797343,5.65147301955,12.8900003433,84.912217796,10.501517273,3.80674772001,3762223790.25,0.0784498723166,0.132625571603
"('7',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.1785999279,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762227390.25,,29,28,10.4179873463,1015.25627037,125.060989384,5.36368206533,12.8858035698,84.7952625426,10.4720001221,11.0961197788,3762227390.25,0.115263402371,0.137473035194
"('8',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.67249997497,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3762230990.25,,29,28,10.3679399545,1014.53871311,287.45081566,6.23644142356,12.8783685434,85.2694109009,10.4472974786,10.5299740598,3762230990.25,0.117091335245,0.128314304098
"('9',)",7,44.38,-124.95,-2.2025451595,16,16,-1.80697792203,16,16,0.0499550613683,16,16,105.547308883,16,16,34.3599112613,16,16,0.112078128236,16,16,80.1638357122,29,28,4.75650002003,0.0,16,16,0.0,29,29,-4.21993807056,16,16,6.58018661065,29,29,0.00351360216513,10.5900604867,29,29,10.3006206304,29,29,3762234590.25,8.71927035582,29,29,10.4986444017,1013.60073619,282.733730758,7.65574195491,12.8699998856,83.2860667363,10.4168268816,10.5863282598,3762234590.25,0.156263347978,0.0620545983719
"('10',)",7,44.38,-124.95,-1.61247766205,16,16,-1.15252635209,16,16,0.058099320612,16,16,113.17192809,16,16,39.9625546824,16,16,0.144393633923,16,16,80.6431027156,29,28,3.47549996495,0.0,16,16,0.0,29,29,-3.95822934282,16,16,6.51941465555,29,29,0.00153909185239,10.5285637757,29,29,10.2844175563,29,29,3762238190.25,9.56501262855,29,29,10.5499082504,1012.76112294,282.889916314,8.09914981999,12.8715963305,82.4357062674,10.3929836633,3.29412572468,3762238190.25,0.173484876866,-0.00307993660597
"('11',)",7,44.38,-124.95,-3.02176063369,16,16,-2.30739391992,16,16,0.0901972915777,16,16,94.1635676512,16,16,62.0415464004,16,16,0.246542375807,16,16,42.9030521548,29,28,4.11600003004,0.0,16,16,0.0,29,29,-6.66503087393,16,16,6.24536257586,29,29,0.00137651528758,10.6455734038,29,29,10.3023725249,29,29,3762241790.25,11.627623661,29,29,10.5539184985,1012.07496629,308.15986169,9.54099864382,12.8716672718,79.901137077,10.3720826079,3.6249897589,3762241790.25,0.139473696483,-0.0209410089732
"('12',)",7,44.38,-124.95,-1.63517350842,16,16,-1.02505374684,16,16,0.0770759408219,16,16,168.363274453,16,16,53.0168789898,16,16,0.167670358949,16,16,122.384804774,29,28,2.29162501831,0.0,16,16,0.0,29,29,-4.74678429244,16,16,6.22325809891,29,29,0.00109768650152,10.49748507,29,29,10.2178370867,29,29,3762245390.25,10.106656508,29,29,10.5776759522,1011.04775365,135.825887843,8.60397491368,12.8483946221,77.7482771349,10.3532341394,9.64831554529,3762245390.25,0.0726895750238,-0.0652508504658
"('13',)",7,44.38,-124.95,3.63794803832,16,16,4.21686303844,16,16,0.0692000832591,16,16,60.0755389463,16,16,50.3492304805,16,16,0.134677656193,16,16,14.2480849712,29,28,5.21639997071,0.0091419275341,16,16,0.00400011539459,29,29,0.685481537681,16,16,6.24762199968,29,29,-0.00616187436897,10.2631681702,29,29,10.3294531808,29,29,3762248990.25,9.26526679962,29,29,10.3073348423,1010.1998038,342.488678071,8.85864698671,12.8500003815,79.2199377406,10.3676183357,9.88933437962,3762248990.25,0.0154776391034,-0.099359556105
